# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.56437374E+00  -8.18783629E+00   3.76537449E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.38061991E-01   5.66118544E-01  -7.19434467E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     32  -7.77397526E+00  -7.61748881E+00   1.56486453E-01
# k =   0.000000   0.400000   0.400000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.91517885E+00  -7.36011390E+00   5.55064943E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.87875483E-01   4.49915744E-01  -3.79597389E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.55686041E-01  -6.91606924E-01   2.64079117E-01
      2  -1.84494581E+00  -1.26484908E+00   5.80096732E-01
      3  -3.39891961E+00  -1.96951029E+00   1.42940932E+00
      4  -5.02785658E+00  -2.27248106E+00   2.75537552E+00
      5  -5.30369701E+00  -4.25179547E+00   1.05190154E+00
      6  -5.62937914E+00  -4.89972742E+00   7.29651715E-01
      7  -5.89309571E+00  -5.22281050E+00   6.70285207E-01
      8  -6.10282535E+00  -5.48342865E+00   6.19396701E-01
      9  -6.29263110E+00  -5.65662698E+00   6.36004118E-01
     10  -6.44155104E+00  -5.82951889E+00   6.12032147E-01
     11  -6.54648008E+00  -5.98083426E+00   5.65645822E-01
     12  -6.64707808E+00  -6.10232312E+00   5.44754955E-01
     13  -6.73398626E+00  -6.20290689E+00   5.31079374E-01
     14  -6.82039745E+00  -6.29090260E+00   5.29494849E-01
     15  -6.87832407E+00  -6.36611101E+00   5.12213066E-01
     16  -6.93651510E+00  -6.43309578E+00   5.03419316E-01
     17  -6.99403634E+00  -6.48827719E+00   5.05759148E-01
     18  -7.05341879E+00  -6.53842215E+00   5.14996646E-01
     19  -7.10246206E+00  -6.58612934E+00   5.16332712E-01
     20  -7.13791374E+00  -6.62764059E+00   5.10273142E-01
     21  -7.17396468E+00  -6.66454723E+00   5.09417452E-01
     22  -7.20938892E+00  -6.69796961E+00   5.11419312E-01
     23  -7.24177776E+00  -6.72910204E+00   5.12675726E-01
     24  -7.27031429E+00  -6.75784151E+00   5.12472784E-01
     25  -7.29597792E+00  -6.78206335E+00   5.13914573E-01
     26  -7.31735521E+00  -6.80483610E+00   5.12519113E-01
     27  -7.34141880E+00  -6.82609612E+00   5.15322684E-01
     28  -7.35994463E+00  -6.84627187E+00   5.13672763E-01
     29  -7.37683349E+00  -6.86365515E+00   5.13178335E-01
     30  -7.39455946E+00  -6.88019533E+00   5.14364128E-01
     31  -7.41215531E+00  -6.89564655E+00   5.16508759E-01
     32  -7.42730336E+00  -6.91019816E+00   5.17105204E-01
# k =   0.000000   0.400000   0.600000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.94488380E+00  -7.36283366E+00   5.82050139E-01
# Error est. for CH(vbm) CH(cbm) diff =   4.94242877E-01   4.57809837E-01  -3.64330399E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.45685368E-01  -6.65771931E-01   2.79913436E-01
      2  -1.79822336E+00  -1.23284192E+00   5.65381437E-01
      3  -2.91110427E+00  -1.85585581E+00   1.05524846E+00
      4  -5.03569369E+00  -2.21461829E+00   2.82107540E+00
      5  -5.31191749E+00  -4.06042058E+00   1.25149691E+00
      6  -5.61467354E+00  -4.77729768E+00   8.37375853E-01
      7  -5.90368996E+00  -5.13640595E+00   7.67284007E-01
      8  -6.11539376E+00  -5.41799017E+00   6.97403591E-01
      9  -6.30219762E+00  -5.60989004E+00   6.92307585E-01
     10  -6.45598874E+00  -5.80492535E+00   6.51063386E-01
     11  -6.56214333E+00  -5.95088749E+00   6.11255847E-01
     12  -6.66234451E+00  -6.07486739E+00   5.87477123E-01
     13  -6.74863365E+00  -6.17654921E+00   5.72084435E-01
     14  -6.83574352E+00  -6.26774033E+00   5.68003189E-01
     15  -6.89555305E+00  -6.34826272E+00   5.47290337E-01
     16  -6.95348149E+00  -6.41839158E+00   5.35089909E-01
     17  -7.01187543E+00  -6.47364438E+00   5.38231052E-01
     18  -7.07232419E+00  -6.52467383E+00   5.47650358E-01
     19  -7.12129699E+00  -6.57187494E+00   5.49422048E-01
     20  -7.15777085E+00  -6.61801104E+00   5.39759804E-01
     21  -7.19628874E+00  -6.65641035E+00   5.39878393E-01
     22  -7.23006951E+00  -6.69073335E+00   5.39336155E-01
     23  -7.26297568E+00  -6.72037798E+00   5.42597698E-01
     24  -7.29192404E+00  -6.74878743E+00   5.43136617E-01
     25  -7.31827195E+00  -6.77437767E+00   5.43894285E-01
     26  -7.33940203E+00  -6.79716646E+00   5.42235564E-01
     27  -7.36386268E+00  -6.81948018E+00   5.44382505E-01
     28  -7.38312012E+00  -6.84054581E+00   5.42574308E-01
     29  -7.39951234E+00  -6.85766418E+00   5.41848164E-01
     30  -7.41724570E+00  -6.87442180E+00   5.42823898E-01
     31  -7.43526947E+00  -6.88990378E+00   5.45365692E-01
     32  -7.45064092E+00  -6.90502382E+00   5.45617099E-01
# k =   0.200000   0.400000   0.600000 spin = 1
