# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.25217795E+00  -8.12153964E+00   1.30638307E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.51090420E-01   5.67850833E-01   1.67604134E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     17  -6.54094747E+00  -6.65741182E+00  -1.16464343E-01
     18  -6.58300005E+00  -6.72240409E+00  -1.39404041E-01
     19  -6.62522591E+00  -6.78747420E+00  -1.62248292E-01
     20  -6.66161714E+00  -6.84326102E+00  -1.81643876E-01
     21  -6.69017591E+00  -6.88781251E+00  -1.97636599E-01
     22  -6.71933851E+00  -6.93262656E+00  -2.13288047E-01
     23  -6.74487468E+00  -6.97200397E+00  -2.27129286E-01
     24  -6.76557081E+00  -7.00452248E+00  -2.38951666E-01
     25  -6.78931470E+00  -7.04164609E+00  -2.52331384E-01
     26  -6.81076734E+00  -7.07621238E+00  -2.65445038E-01
     27  -6.83146766E+00  -7.10726469E+00  -2.75797026E-01
     28  -6.84674103E+00  -7.13037486E+00  -2.83633827E-01
     29  -6.86042329E+00  -7.15169470E+00  -2.91271408E-01
     30  -6.87469331E+00  -7.17342835E+00  -2.98735045E-01
     31  -6.88741376E+00  -7.19372512E+00  -3.06311362E-01
