# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       6 -0.56495869E+01 -0.47468665E+01  0.90272037E+00 -0.33645126E+00
       7 -0.59217182E+01 -0.52465535E+01  0.67516461E+00 -0.33645126E+00
       8 -0.61294808E+01 -0.56703701E+01  0.45911076E+00 -0.33645126E+00
       9 -0.63030223E+01 -0.59207182E+01  0.38230414E+00 -0.33645126E+00
      10 -0.64643272E+01 -0.61663460E+01  0.29798122E+00 -0.33645126E+00
      11 -0.65740718E+01 -0.63583545E+01  0.21571730E+00 -0.33645126E+00
      12 -0.66754318E+01 -0.65155783E+01  0.15985349E+00 -0.33645126E+00
      13 -0.67642832E+01 -0.66637192E+01  0.10056401E+00 -0.33645126E+00
      14 -0.68504584E+01 -0.67864994E+01  0.63958941E-01 -0.33645126E+00
      15 -0.69156722E+01 -0.68819097E+01  0.33762519E-01 -0.33645126E+00
      16 -0.69736040E+01 -0.69680532E+01  0.55508494E-02 -0.33645126E+00
      17 -0.70306004E+01 -0.70473893E+01 -0.16788925E-01 -0.33645126E+00
      18 -0.70881822E+01 -0.71223174E+01 -0.34135172E-01 -0.33645126E+00
      19 -0.71356024E+01 -0.71877886E+01 -0.52186196E-01 -0.33645126E+00
      20 -0.71739150E+01 -0.72429092E+01 -0.68994249E-01 -0.33645126E+00
