# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      13 -0.65992335E+01 -0.60938045E+01  0.50542904E+00  0.45691445E+00
      14 -0.66744349E+01 -0.61815189E+01  0.49291604E+00  0.45691445E+00
      15 -0.67399151E+01 -0.62502236E+01  0.48969149E+00  0.45691445E+00
      16 -0.67962593E+01 -0.63088512E+01  0.48740809E+00  0.45691445E+00
      17 -0.68418130E+01 -0.63650981E+01  0.47671498E+00  0.45691445E+00
      18 -0.68847065E+01 -0.64142087E+01  0.47049786E+00  0.45691445E+00
      19 -0.69264976E+01 -0.64570211E+01  0.46947651E+00  0.45691445E+00
      20 -0.69667472E+01 -0.64974854E+01  0.46926187E+00  0.45691445E+00
      21 -0.70024738E+01 -0.65308571E+01  0.47161678E+00  0.45691445E+00
      22 -0.70389907E+01 -0.65620409E+01  0.47694987E+00  0.45691445E+00
      23 -0.70676001E+01 -0.65928232E+01  0.47477684E+00  0.45691445E+00
      24 -0.70949884E+01 -0.66198677E+01  0.47512074E+00  0.45691445E+00
      25 -0.71202765E+01 -0.66428610E+01  0.47741554E+00  0.45691445E+00
      26 -0.71458319E+01 -0.66660140E+01  0.47981785E+00  0.45691445E+00
      27 -0.71681287E+01 -0.66883231E+01  0.47980562E+00  0.45691445E+00
      28 -0.71846335E+01 -0.67065855E+01  0.47804799E+00  0.45691445E+00
      29 -0.72008815E+01 -0.67251776E+01  0.47570385E+00  0.45691445E+00
      30 -0.72167827E+01 -0.67410260E+01  0.47575676E+00  0.45691445E+00
      31 -0.72319707E+01 -0.67559679E+01  0.47600280E+00  0.45691445E+00
# k =  0.00000000E+00  0.40000000E+00  0.60000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.94079114E+00 -0.63115235E+00  0.30963879E+00  0.46429377E+00
       2 -0.17644804E+01 -0.11716113E+01  0.59286907E+00  0.46429377E+00
       3 -0.27602150E+01 -0.18171014E+01  0.94311365E+00  0.46429377E+00
       4 -0.49787610E+01 -0.21661893E+01  0.28125717E+01  0.46429377E+00
       5 -0.52474989E+01 -0.39962575E+01  0.12512414E+01  0.46429377E+00
       6 -0.55235018E+01 -0.47306258E+01  0.79287609E+00  0.46429377E+00
       7 -0.58041768E+01 -0.50645007E+01  0.73967608E+00  0.46429377E+00
       8 -0.60109430E+01 -0.53325582E+01  0.67838474E+00  0.46429377E+00
       9 -0.61920478E+01 -0.55227606E+01  0.66928724E+00  0.46429377E+00
      10 -0.63347995E+01 -0.57064819E+01  0.62831763E+00  0.46429377E+00
      11 -0.64333695E+01 -0.58541857E+01  0.57918379E+00  0.46429377E+00
      12 -0.65265967E+01 -0.59663759E+01  0.56022077E+00  0.46429377E+00
      13 -0.66112030E+01 -0.60726926E+01  0.53851042E+00  0.46429377E+00
      14 -0.66826815E+01 -0.61572629E+01  0.52541866E+00  0.46429377E+00
      15 -0.67414899E+01 -0.62323758E+01  0.50911417E+00  0.46429377E+00
      16 -0.67974528E+01 -0.62916936E+01  0.50575916E+00  0.46429377E+00
      17 -0.68520008E+01 -0.63504172E+01  0.50158361E+00  0.46429377E+00
      18 -0.68985037E+01 -0.63988842E+01  0.49961950E+00  0.46429377E+00
      19 -0.69411191E+01 -0.64431109E+01  0.49800820E+00  0.46429377E+00
      20 -0.69819321E+01 -0.64852863E+01  0.49664581E+00  0.46429377E+00
      21 -0.70149306E+01 -0.65218521E+01  0.49307854E+00  0.46429377E+00
      22 -0.70491470E+01 -0.65530159E+01  0.49613117E+00  0.46429377E+00
      23 -0.70780297E+01 -0.65835781E+01  0.49445169E+00  0.46429377E+00
      24 -0.71051726E+01 -0.66097391E+01  0.49543348E+00  0.46429377E+00
      25 -0.71289175E+01 -0.66339230E+01  0.49499447E+00  0.46429377E+00
      26 -0.71555574E+01 -0.66577603E+01  0.49779717E+00  0.46429377E+00
      27 -0.71784296E+01 -0.66802545E+01  0.49817510E+00  0.46429377E+00
      28 -0.71961967E+01 -0.66992730E+01  0.49692366E+00  0.46429377E+00
      29 -0.72134348E+01 -0.67183324E+01  0.49510242E+00  0.46429377E+00
      30 -0.72283096E+01 -0.67337436E+01  0.49456591E+00  0.46429377E+00
      31 -0.72427845E+01 -0.67490186E+01  0.49376593E+00  0.46429377E+00
# k =  0.20000000E+00  0.40000000E+00  0.60000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.91516977E+00 -0.63122104E+00  0.28394873E+00 -0.29332960E+00
       2 -0.17396042E+01 -0.11863467E+01  0.55325747E+00 -0.29332960E+00
       3 -0.28359660E+01 -0.18076040E+01  0.10283620E+01 -0.29332960E+00
       4 -0.48153862E+01 -0.23455558E+01  0.24698304E+01 -0.29332960E+00
       5 -0.51854511E+01 -0.39868359E+01  0.11986151E+01 -0.29332960E+00
       6 -0.54780984E+01 -0.46418191E+01  0.83627927E+00 -0.29332960E+00
       7 -0.57304658E+01 -0.50810802E+01  0.64938565E+00 -0.29332960E+00
       8 -0.59180221E+01 -0.54669577E+01  0.45106436E+00 -0.29332960E+00
       9 -0.60957668E+01 -0.57170888E+01  0.37867806E+00 -0.29332960E+00
      10 -0.62248737E+01 -0.59261740E+01  0.29869971E+00 -0.29332960E+00
      11 -0.63202538E+01 -0.60997955E+01  0.22045829E+00 -0.29332960E+00
      12 -0.64139266E+01 -0.62414079E+01  0.17251866E+00 -0.29332960E+00
      13 -0.64927573E+01 -0.63793192E+01  0.11343802E+00 -0.29332960E+00
      14 -0.65604265E+01 -0.64879357E+01  0.72490764E-01 -0.29332960E+00
      15 -0.66201279E+01 -0.65690934E+01  0.51034526E-01 -0.29332960E+00
      16 -0.66723440E+01 -0.66454814E+01  0.26862580E-01 -0.29332960E+00
      17 -0.67235868E+01 -0.67184912E+01  0.50955480E-02 -0.29332960E+00
      18 -0.67663779E+01 -0.67827838E+01 -0.16405917E-01 -0.29332960E+00
      19 -0.68063528E+01 -0.68386445E+01 -0.32291719E-01 -0.29332960E+00
      20 -0.68444995E+01 -0.68911483E+01 -0.46648795E-01 -0.29332960E+00
      21 -0.68769666E+01 -0.69323729E+01 -0.55406335E-01 -0.29332960E+00
      22 -0.69092886E+01 -0.69740393E+01 -0.64750683E-01 -0.29332960E+00
      23 -0.69353832E+01 -0.70130753E+01 -0.77692109E-01 -0.29332960E+00
      24 -0.69607614E+01 -0.70478358E+01 -0.87074358E-01 -0.29332960E+00
      25 -0.69833840E+01 -0.70773050E+01 -0.93921030E-01 -0.29332960E+00
      26 -0.70071254E+01 -0.71085036E+01 -0.10137819E+00 -0.29332960E+00
      27 -0.70289938E+01 -0.71366484E+01 -0.10765457E+00 -0.29332960E+00
      28 -0.70457911E+01 -0.71588935E+01 -0.11310245E+00 -0.29332960E+00
      29 -0.70621316E+01 -0.71821448E+01 -0.12001325E+00 -0.29332960E+00
