# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      94 -0.54560606E+01 -0.54263121E+01  0.29748507E-01 -0.11010938E+00
      95 -0.54704026E+01 -0.54620009E+01  0.84017626E-02 -0.11010938E+00
      96 -0.54802453E+01 -0.54846725E+01 -0.44272317E-02 -0.11010938E+00
      97 -0.54862145E+01 -0.54944363E+01 -0.82218089E-02 -0.11010938E+00
      98 -0.55041950E+01 -0.55131318E+01 -0.89368143E-02 -0.11010938E+00
      99 -0.55241086E+01 -0.55333012E+01 -0.91926501E-02 -0.11010938E+00
     100 -0.55272939E+01 -0.55422960E+01 -0.15002057E-01 -0.11010938E+00
     101 -0.55295859E+01 -0.55437596E+01 -0.14173724E-01 -0.11010938E+00
     102 -0.55382901E+01 -0.55597615E+01 -0.21471391E-01 -0.11010938E+00
     103 -0.55473942E+01 -0.55771960E+01 -0.29801720E-01 -0.11010938E+00
     104 -0.55484634E+01 -0.55791193E+01 -0.30655889E-01 -0.11010938E+00
     105 -0.55517915E+01 -0.55817159E+01 -0.29924398E-01 -0.11010938E+00
     106 -0.55689497E+01 -0.56010559E+01 -0.32106209E-01 -0.11010938E+00
     107 -0.55905905E+01 -0.56276617E+01 -0.37071220E-01 -0.11010938E+00
     108 -0.55959752E+01 -0.56373627E+01 -0.41387541E-01 -0.11010938E+00
     109 -0.56001807E+01 -0.56433768E+01 -0.43196091E-01 -0.11010938E+00
     110 -0.56043181E+01 -0.56492398E+01 -0.44921661E-01 -0.11010938E+00
     111 -0.56071640E+01 -0.56542436E+01 -0.47079529E-01 -0.11010938E+00
     112 -0.56105262E+01 -0.56582769E+01 -0.47750658E-01 -0.11010938E+00
     113 -0.56219756E+01 -0.56713660E+01 -0.49390407E-01 -0.11010938E+00
     114 -0.56323392E+01 -0.56835481E+01 -0.51208924E-01 -0.11010938E+00
     115 -0.56353961E+01 -0.56867449E+01 -0.51348723E-01 -0.11010938E+00
     116 -0.56390381E+01 -0.56915546E+01 -0.52516493E-01 -0.11010938E+00
     117 -0.56423832E+01 -0.56955337E+01 -0.53150444E-01 -0.11010938E+00
     118 -0.56459515E+01 -0.56999122E+01 -0.53960759E-01 -0.11010938E+00
     119 -0.56502048E+01 -0.57047353E+01 -0.54530521E-01 -0.11010938E+00
     120 -0.56528165E+01 -0.57080249E+01 -0.55208355E-01 -0.11010938E+00
     121 -0.56555184E+01 -0.57105837E+01 -0.55065353E-01 -0.11010938E+00
     122 -0.56575493E+01 -0.57130040E+01 -0.55454702E-01 -0.11010938E+00
     123 -0.56599090E+01 -0.57154328E+01 -0.55523782E-01 -0.11010938E+00
     124 -0.56629418E+01 -0.57186198E+01 -0.55678060E-01 -0.11010938E+00
     125 -0.56660875E+01 -0.57218400E+01 -0.55752487E-01 -0.11010938E+00
     126 -0.56699601E+01 -0.57255760E+01 -0.55615830E-01 -0.11010938E+00
     127 -0.56732401E+01 -0.57282445E+01 -0.55004450E-01 -0.11010938E+00
     128 -0.56745319E+01 -0.57308281E+01 -0.56296185E-01 -0.11010938E+00
     129 -0.56763675E+01 -0.57320539E+01 -0.55686378E-01 -0.11010938E+00
     130 -0.56785527E+01 -0.57348937E+01 -0.56340981E-01 -0.11010938E+00
     131 -0.56812616E+01 -0.57380908E+01 -0.56829245E-01 -0.11010938E+00
     132 -0.56842550E+01 -0.57418376E+01 -0.57582558E-01 -0.11010938E+00
# k =  0.00000000E+00  0.00000000E+00  0.25000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.16387690E-01 -0.85714092E-02  0.78162804E-02  0.77565906E-01
       2 -0.33810714E-01 -0.17871641E-01  0.15939073E-01  0.77565906E-01
       3 -0.50237219E-01 -0.27485975E-01  0.22751244E-01  0.77565906E-01
       4 -0.69814180E-01 -0.38787739E-01  0.31026441E-01  0.77565906E-01
       5 -0.88929122E-01 -0.50441819E-01  0.38487302E-01  0.77565906E-01
       6 -0.10906787E+00 -0.65413818E-01  0.43654055E-01  0.77565906E-01
       7 -0.12712018E+00 -0.80151296E-01  0.46968887E-01  0.77565906E-01
       8 -0.14379700E+00 -0.93535515E-01  0.50261482E-01  0.77565906E-01
       9 -0.16279504E+00 -0.10956141E+00  0.53233635E-01  0.77565906E-01
      10 -0.18089635E+00 -0.12449829E+00  0.56398059E-01  0.77565906E-01
      11 -0.20210166E+00 -0.14120879E+00  0.60892863E-01  0.77565906E-01
      12 -0.21571816E+00 -0.15358945E+00  0.62128709E-01  0.77565906E-01
      13 -0.24775424E+00 -0.17253806E+00  0.75216178E-01  0.77565906E-01
      14 -0.26893543E+00 -0.18804946E+00  0.80885972E-01  0.77565906E-01
      15 -0.29547647E+00 -0.20479306E+00  0.90683412E-01  0.77565906E-01
      16 -0.32229210E+00 -0.22010419E+00  0.10218791E+00  0.77565906E-01
      17 -0.33626373E+00 -0.23814423E+00  0.98119502E-01  0.77565906E-01
      18 -0.34471073E+00 -0.24814056E+00  0.96570179E-01  0.77565906E-01
      19 -0.36654056E+00 -0.28083310E+00  0.85707457E-01  0.77565906E-01
      20 -0.38016585E+00 -0.29278605E+00  0.87379800E-01  0.77565906E-01
      21 -0.39312779E+00 -0.30270618E+00  0.90421607E-01  0.77565906E-01
      22 -0.40467207E+00 -0.31514988E+00  0.89522187E-01  0.77565906E-01
      23 -0.42020900E+00 -0.33327630E+00  0.86932692E-01  0.77565906E-01
      24 -0.43406167E+00 -0.34680672E+00  0.87254948E-01  0.77565906E-01
      25 -0.44556161E+00 -0.35864165E+00  0.86919955E-01  0.77565906E-01
      26 -0.45619135E+00 -0.36880278E+00  0.87388569E-01  0.77565906E-01
      27 -0.46817695E+00 -0.38153515E+00  0.86641799E-01  0.77565906E-01
      28 -0.47778665E+00 -0.39234471E+00  0.85441948E-01  0.77565906E-01
      29 -0.48826105E+00 -0.40340728E+00  0.84853778E-01  0.77565906E-01
      30 -0.49740192E+00 -0.41423746E+00  0.83164455E-01  0.77565906E-01
      31 -0.50399974E+00 -0.42053561E+00  0.83464133E-01  0.77565906E-01
      32 -0.53748123E+00 -0.44734714E+00  0.90134093E-01  0.77565906E-01
      33 -0.54729172E+00 -0.45765639E+00  0.89635324E-01  0.77565906E-01
      34 -0.61692739E+00 -0.50963476E+00  0.10729263E+00  0.77565906E-01
      35 -0.64069819E+00 -0.52887209E+00  0.11182610E+00  0.77565906E-01
      36 -0.66443957E+00 -0.54807491E+00  0.11636467E+00  0.77565906E-01
      37 -0.73520459E+00 -0.60167725E+00  0.13352735E+00  0.77565906E-01
      38 -0.80729619E+00 -0.65631042E+00  0.15098577E+00  0.77565906E-01
      39 -0.82754647E+00 -0.67437639E+00  0.15317008E+00  0.77565906E-01
      40 -0.84731166E+00 -0.69161946E+00  0.15569220E+00  0.77565906E-01
      41 -0.86647066E+00 -0.71021891E+00  0.15625175E+00  0.77565906E-01
      42 -0.88868219E+00 -0.73149028E+00  0.15719191E+00  0.77565906E-01
      43 -0.90442573E+00 -0.74592110E+00  0.15850463E+00  0.77565906E-01
      44 -0.96103058E+00 -0.79205037E+00  0.16898021E+00  0.77565906E-01
      45 -0.10180332E+01 -0.83778247E+00  0.18025077E+00  0.77565906E-01
      46 -0.10447391E+01 -0.85724286E+00  0.18749621E+00  0.77565906E-01
      47 -0.10720628E+01 -0.87736275E+00  0.19470001E+00  0.77565906E-01
      48 -0.11761739E+01 -0.95485513E+00  0.22131881E+00  0.77565906E-01
      49 -0.12834667E+01 -0.10419755E+01  0.24149122E+00  0.77565906E-01
      50 -0.13110685E+01 -0.10590446E+01  0.25202382E+00  0.77565906E-01
