
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
   246    -3     2     4    -3.069     0.591     2.558    16.310063098
   247    -3     2     5    -3.069     0.591     3.197    19.989639499
   248    -3     2     6    -3.069     0.591     3.836    24.486899544
   249    -3     2     7    -3.069     0.591     4.476    29.801843234
   250    -3     2     8    -3.069     0.591     5.115    35.934470569
   251    -3     3    -8    -3.069     1.772    -5.115    38.725497411
   252    -3     3    -7    -3.069     1.772    -4.476    32.592870076
   253    -3     3    -6    -3.069     1.772    -3.836    27.277926386
   254    -3     3    -5    -3.069     1.772    -3.197    22.780666341
   255    -3     3    -4    -3.069     1.772    -2.558    19.101089940
   256    -3     3    -3    -3.069     1.772    -1.918    16.239197184
   257    -3     3    -2    -3.069     1.772    -1.279    14.194988072
   258    -3     3    -1    -3.069     1.772    -0.639    12.968462606
   259    -3     3     0    -3.069     1.772     0.000    12.559620783
   260    -3     3     1    -3.069     1.772     0.639    12.968462606
   261    -3     3     2    -3.069     1.772     1.279    14.194988072
   262    -3     3     3    -3.069     1.772     1.918    16.239197184
   263    -3     3     4    -3.069     1.772     2.558    19.101089940
   264    -3     3     5    -3.069     1.772     3.197    22.780666341
   265    -3     3     6    -3.069     1.772     3.836    27.277926386
   266    -3     3     7    -3.069     1.772     4.476    32.592870076
   267    -3     3     8    -3.069     1.772     5.115    38.725497411
   268    -3     4    -7    -3.069     2.953    -4.476    38.174923759
   269    -3     4    -6    -3.069     2.953    -3.836    32.859980069
   270    -3     4    -5    -3.069     2.953    -3.197    28.362720024
   271    -3     4    -4    -3.069     2.953    -2.558    24.683143623
   272    -3     4    -3    -3.069     2.953    -1.918    21.821250867
   273    -3     4    -2    -3.069     2.953    -1.279    19.777041755
   274    -3     4    -1    -3.069     2.953    -0.639    18.550516289
   275    -3     4     0    -3.069     2.953     0.000    18.141674466
   276    -3     4     1    -3.069     2.953     0.639    18.550516289
   277    -3     4     2    -3.069     2.953     1.279    19.777041755
   278    -3     4     3    -3.069     2.953     1.918    21.821250867
   279    -3     4     4    -3.069     2.953     2.558    24.683143623
   280    -3     4     5    -3.069     2.953     3.197    28.362720024
   281    -3     4     6    -3.069     2.953     3.836    32.859980069
   282    -3     4     7    -3.069     2.953     4.476    38.174923759
   283    -3     5    -5    -3.069     4.135    -3.197    36.735800548
   284    -3     5    -4    -3.069     4.135    -2.558    33.056224147
   285    -3     5    -3    -3.069     4.135    -1.918    30.194331391
   286    -3     5    -2    -3.069     4.135    -1.279    28.150122280
   287    -3     5    -1    -3.069     4.135    -0.639    26.923596813
   288    -3     5     0    -3.069     4.135     0.000    26.514754990
   289    -3     5     1    -3.069     4.135     0.639    26.923596813
   290    -3     5     2    -3.069     4.135     1.279    28.150122280
   291    -3     5     3    -3.069     4.135     1.918    30.194331391
   292    -3     5     4    -3.069     4.135     2.558    33.056224147
   293    -3     5     5    -3.069     4.135     3.197    36.735800548
   294    -3     6    -2    -3.069     5.316    -1.279    39.314229645
   295    -3     6    -1    -3.069     5.316    -0.639    38.087704178
   296    -3     6     0    -3.069     5.316     0.000    37.678862356
   297    -3     6     1    -3.069     5.316     0.639    38.087704178
   298    -3     6     2    -3.069     5.316     1.279    39.314229645
   299    -2    -4    -1    -2.046    -5.907    -0.639    39.483217595
   300    -2    -4     0    -2.046    -5.907     0.000    39.074375773
   301    -2    -4     1    -2.046    -5.907     0.639    39.483217595
   302    -2    -3    -5    -2.046    -4.725    -3.197    36.735800546
   303    -2    -3    -4    -2.046    -4.725    -2.558    33.056224145
   304    -2    -3    -3    -2.046    -4.725    -1.918    30.194331389
   305    -2    -3    -2    -2.046    -4.725    -1.279    28.150122277
   306    -2    -3    -1    -2.046    -4.725    -0.639    26.923596810
   307    -2    -3     0    -2.046    -4.725     0.000    26.514754988
   308    -2    -3     1    -2.046    -4.725     0.639    26.923596810
   309    -2    -3     2    -2.046    -4.725     1.279    28.150122277
   310    -2    -3     3    -2.046    -4.725     1.918    30.194331389
   311    -2    -3     4    -2.046    -4.725     2.558    33.056224145
   312    -2    -3     5    -2.046    -4.725     3.197    36.735800546
   313    -2    -2    -7    -2.046    -3.544    -4.476    36.779410337
   314    -2    -2    -6    -2.046    -3.544    -3.836    31.464466647
   315    -2    -2    -5    -2.046    -3.544    -3.197    26.967206602
   316    -2    -2    -4    -2.046    -3.544    -2.558    23.287630201
   317    -2    -2    -3    -2.046    -3.544    -1.918    20.425737445
   318    -2    -2    -2    -2.046    -3.544    -1.279    18.381528333
   319    -2    -2    -1    -2.046    -3.544    -0.639    17.155002867
   320    -2    -2     0    -2.046    -3.544     0.000    16.746161044
   321    -2    -2     1    -2.046    -3.544     0.639    17.155002867
   322    -2    -2     2    -2.046    -3.544     1.279    18.381528333
   323    -2    -2     3    -2.046    -3.544     1.918    20.425737445
   324    -2    -2     4    -2.046    -3.544     2.558    23.287630201
   325    -2    -2     5    -2.046    -3.544     3.197    26.967206602
   326    -2    -2     6    -2.046    -3.544     3.836    31.464466647
   327    -2    -2     7    -2.046    -3.544     4.476    36.779410337
   328    -2    -1    -8    -2.046    -2.363    -5.115    35.934470569
   329    -2    -1    -7    -2.046    -2.363    -4.476    29.801843235
   330    -2    -1    -6    -2.046    -2.363    -3.836    24.486899545
   331    -2    -1    -5    -2.046    -2.363    -3.197    19.989639499
   332    -2    -1    -4    -2.046    -2.363    -2.558    16.310063099
   333    -2    -1    -3    -2.046    -2.363    -1.918    13.448170343
   334    -2    -1    -2    -2.046    -2.363    -1.279    11.403961231
   335    -2    -1    -1    -2.046    -2.363    -0.639    10.177435764
   336    -2    -1     0    -2.046    -2.363     0.000     9.768593942
   337    -2    -1     1    -2.046    -2.363     0.639    10.177435764
   338    -2    -1     2    -2.046    -2.363     1.279    11.403961231
   339    -2    -1     3    -2.046    -2.363     1.918    13.448170343
   340    -2    -1     4    -2.046    -2.363     2.558    16.310063099
   341    -2    -1     5    -2.046    -2.363     3.197    19.989639499
   342    -2    -1     6    -2.046    -2.363     3.836    24.486899545
   343    -2    -1     7    -2.046    -2.363     4.476    29.801843235
   344    -2    -1     8    -2.046    -2.363     5.115    35.934470569
   345    -2     0    -9    -2.046    -1.181    -5.755    38.698241287
   346    -2     0    -8    -2.046    -1.181    -5.115    31.747930308
   347    -2     0    -7    -2.046    -1.181    -4.476    25.615302973
   348    -2     0    -6    -2.046    -1.181    -3.836    20.300359283
